id,category,file,line,link_local,link_github,context,matchType,text_current,text_revised,status,notes
home.tagline.line1,home,src/screens/HomeScreen.tsx,32,vscode://file/Users/kogunriitari/dev/web/bloom-me/src/screens/HomeScreen.tsx:32,https://github.com/mfuru363-create/bloom-me/blob/main/src/screens/HomeScreen.tsx#L32,p tagline 1行目,literal,歴史の美しい時代から、,,draft,
home.tagline.line2,home,src/screens/HomeScreen.tsx,34,vscode://file/Users/kogunriitari/dev/web/bloom-me/src/screens/HomeScreen.tsx:34,https://github.com/mfuru363-create/bloom-me/blob/main/src/screens/HomeScreen.tsx#L34,p tagline 2行目,literal,花の精霊として生まれ変わろう,,draft,
home.gender_female,home,src/screens/HomeScreen.tsx,42,vscode://file/Users/kogunriitari/dev/web/bloom-me/src/screens/HomeScreen.tsx:42,https://github.com/mfuru363-create/bloom-me/blob/main/src/screens/HomeScreen.tsx#L42,button 女性レーン,literal,女性の精霊,,draft,
home.gender_male,home,src/screens/HomeScreen.tsx,49,vscode://file/Users/kogunriitari/dev/web/bloom-me/src/screens/HomeScreen.tsx:49,https://github.com/mfuru363-create/bloom-me/blob/main/src/screens/HomeScreen.tsx#L49,button 男性レーン,literal,男性の精霊,,draft,
home.high_quality_note,home,src/screens/HomeScreen.tsx,53,vscode://file/Users/kogunriitari/dev/web/bloom-me/src/screens/HomeScreen.tsx:53,https://github.com/mfuru363-create/bloom-me/blob/main/src/screens/HomeScreen.tsx#L53,p footnote,literal,※ 高品質モードは1日1回まで利用できます,,draft,
nav.back_to_home,nav,src/components/BloomMeApp.tsx,38,vscode://file/Users/kogunriitari/dev/web/bloom-me/src/components/BloomMeApp.tsx:38,https://github.com/mfuru363-create/bloom-me/blob/main/src/components/BloomMeApp.tsx#L38,header button,literal,← トップへ,,draft,
nav.footer_credit,nav,src/components/BloomMeApp.tsx,55,vscode://file/Users/kogunriitari/dev/web/bloom-me/src/components/BloomMeApp.tsx:55,https://github.com/mfuru363-create/bloom-me/blob/main/src/components/BloomMeApp.tsx#L55,footer p,literal,Google Gemini で生成,,draft,
gen.step1.title,generator,src/screens/GeneratorScreen.tsx,126,vscode://file/Users/kogunriitari/dev/web/bloom-me/src/screens/GeneratorScreen.tsx:126,https://github.com/mfuru363-create/bloom-me/blob/main/src/screens/GeneratorScreen.tsx#L126,h2 step 1,literal,1. 国花を選ぶ,,draft,
gen.step2.title,generator,src/screens/GeneratorScreen.tsx,138,vscode://file/Users/kogunriitari/dev/web/bloom-me/src/screens/GeneratorScreen.tsx:138,https://github.com/mfuru363-create/bloom-me/blob/main/src/screens/GeneratorScreen.tsx#L138,h2 step 2,literal,2. 写真から変身,,draft,
gen.step2.optional,generator,src/screens/GeneratorScreen.tsx,139,vscode://file/Users/kogunriitari/dev/web/bloom-me/src/screens/GeneratorScreen.tsx:139,https://github.com/mfuru363-create/bloom-me/blob/main/src/screens/GeneratorScreen.tsx#L139,span optional,literal,（任意）,,draft,
gen.step3.title,generator,src/screens/GeneratorScreen.tsx,152,vscode://file/Users/kogunriitari/dev/web/bloom-me/src/screens/GeneratorScreen.tsx:152,https://github.com/mfuru363-create/bloom-me/blob/main/src/screens/GeneratorScreen.tsx#L152,h2 step 3,literal,3. 精霊をカスタマイズ,,draft,
gen.step4.title,generator,src/screens/GeneratorScreen.tsx,166,vscode://file/Users/kogunriitari/dev/web/bloom-me/src/screens/GeneratorScreen.tsx:166,https://github.com/mfuru363-create/bloom-me/blob/main/src/screens/GeneratorScreen.tsx#L166,h2 step 4,literal,4. 完成した精霊,,draft,
gen.error.fallback,error,src/screens/GeneratorScreen.tsx,102,vscode://file/Users/kogunriitari/dev/web/bloom-me/src/screens/GeneratorScreen.tsx:102,https://github.com/mfuru363-create/bloom-me/blob/main/src/screens/GeneratorScreen.tsx#L102,throw fallback,literal,生成に失敗しました,,draft,
gen.error.unexpected,error,src/screens/GeneratorScreen.tsx,108,vscode://file/Users/kogunriitari/dev/web/bloom-me/src/screens/GeneratorScreen.tsx:108,https://github.com/mfuru363-create/bloom-me/blob/main/src/screens/GeneratorScreen.tsx#L108,catch fallback,literal,予期しないエラーが発生しました,,draft,
form.default.personality,form,src/components/GenerationForm.tsx,66,vscode://file/Users/kogunriitari/dev/web/bloom-me/src/components/GenerationForm.tsx:66,https://github.com/mfuru363-create/bloom-me/blob/main/src/components/GenerationForm.tsx#L66,useState default,literal,"穏やか, 優雅",,draft,
